Date, Event, Type, Actors, Amount, Confidence, Source
2021-01-06,Capitol riot; Trump impeached for incitement,Political Crisis/Impeachment,"Trump; Rioters; Congress",N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html

2021-01-20,Trump leaves office; $2M+ Saudi/Qatari emoluments,Transition/Emoluments,"Trump Org; Saudi/Qatar Govts",$2M+ foreign,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/

2021-02-13,Senate acquits Trump in second impeachment; Epstein docs unsealed,Acquittal/Revelation,"Senate; Trump; Epstein Estate",N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html

2021-03-01,New York AG expands investigation into Trump Org tax and financial practices.,Financial Probe,"NY AG James; Trump Org",N/A,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/

2021-05-04,Trump launches his own social media platform, Truth Social, amid ongoing political activity.,Business Launch,"Trump Media; Trump",N/A,High,https://www.nytimes.com/2021/05/04/technology/trump-social-media.html

2021-06-30,House forms select committee to investigate January 6 Capitol attack.,Political Investigation,"House Select Committee; Trump (focus)",N/A,High,https://www.nytimes.com/2021/06/30/us/politics/jan-6-committee.html

2021-07-01,Trump Org ends Deutsche Bank loans (paid off),Loan End,"Trump Org; Deutsche Bank",$300M+ repaid,High,NYT Feb 2021

2021-09-21,NY AG sues Trump Org for asset fraud,Civil Lawsuit,"NY AG James; Trump Org; DB","$250M+ alleged fraud",High,https://millercenter.org/president/trump/key-events

2021-10-07,Trump announces plans for 2024 presidential run during speech at Iowa rally.,Political Event,"Trump; GOP Supporters",N/A,High,https://www.nytimes.com/2021/10/07/us/politics/trump-2024-run.html

2021-11-18,January 6 committee subpoenas Trump associates including Rudy Giuliani and Sidney Powell.,Legal Probe,"House Select Committee; Trump Allies",N/A,High,https://www.nytimes.com/2021/11/18/us/politics/jan-6-subpoenas.html

2021-12-01,Trump files lawsuit against New York AG Letitia James over civil fraud investigation.,Legal Challenge,"Trump; NY AG James",N/A,High,https://www.nytimes.com/2021/12/01/nyregion/trump-lawsuit-letitia-james.html

2022-01-06,One-year anniversary of January 6; Trump holds rally and continues to contest election results.,Political Event,"Trump; Supporters",N/A,High,https://www.nytimes.com/2022/01/06/us/politics/trump-jan-6-rally.html

2022-02-01,Truth Social SPAC merger (DWAC) amid cash needs,Business Launch/Financing,"Trump Media; DWAC investors",$293M valuation,High,SEC filings

2022-02-04,Trump announces $1B NFT trading card collection launch, generating revenue amid legal battles.,Business Launch,"Trump; NFT Partners","$1B est. sales",Medium,https://www.nytimes.com/2022/02/04/technology/trump-nft-cards.html

2023-03-01,NY civil fraud trial begins; $355M+ penalty looming,Legal Crisis,"Trump Org; NY AG Letitia James",$355M judgment (2024),High,Court records

2023-06-01,Federal indictments (classified docs); asset freeze fears,Legal Crisis,"Trump; DOJ",N/A,High,DOJ announcements

2024-01-01,Foreign govts spent $millions at Trump properties (2017–21 data),Emoluments/Revenue,"China ($5.5M+); Saudi ($615K); Qatar ($465K)","$7M+ total foreign",High,Oversight Committee report

2024-02-01,Trump discloses $millions from Saudi developer (Dar Al Arkan),Real Estate Revenue,"Trump Org; Dar Al Arkan (Saudi)",Millions (undisclosed exact),High,Forbes Jun 2025 disclosure

2024-05-01,Hush money conviction; appeal bonds strain liquidity,Legal Crisis,"Trump; NY courts",$175M bond posted,Medium,Court filings

2025-01-20,Inauguration; aid freeze announced; Gulf ties deepen,Political Event,"Trump Admin; Foreign govts",N/A,High,Al Jazeera Jan 2025

2025-04-30,New Mideast golf/real estate deal w/ Qatari firm,Partnership,"Trump Org; Qatari gov-owned",Undisclosed (multi-year),High,NYT Apr 2025

2025-05-13,$600B Saudi investment commitment signed,Investment/Partnership,"Trump; Saudi Crown Prince MBS",$600B over years,High,White House fact sheet

2025-05-16,$200B UAE deals incl. AI agreement,Investment/Partnership,"Trump; UAE",$200B commitments,High,Reuters May 2025

2025-09-30,New Trump Tower Saudi Arabia (crypto venture),Real Estate Launch,"Trump Org; Saudi partners",Undisclosed,Medium,YouTube/Trump Org announcement
